algorithm,vocab_size,avg_compression,avg_fertility,avg_tokens
bpe,32000,3.0355,1.5488,6936.0
bpe,64000,3.0998,1.5166,6791.5
bpe,80000,3.127,1.503,6727.0
bpe,128000,3.152,1.491,6672.5
wordpiece,32000,4.03,1.1659,5213.5
wordpiece,64000,4.119,1.1407,5100.0
wordpiece,80000,4.1668,1.1274,5037.5
wordpiece,128000,4.2066,1.1167,4988.0
sentencepiece,32000,2.4499,1.9189,8593.0
sentencepiece,64000,2.5043,1.8765,8395.0
sentencepiece,80000,2.514,1.8693,8363.0
sentencepiece,128000,2.53,1.8575,8311.0
